user_id,synthetic_profile,cancelled_limit_recently
U000225,low,0
U000226,medium,0
U000227,low,0
U000228,low,0
U000229,low,0
U000230,low,0
U000231,low,0
U000232,low,0
U000233,high,0
U000234,low,0
U000235,medium,0
U000236,low,0
U000237,low,0
U000238,low,0
U000239,low,0
U000240,low,0
U000241,medium,0
U000242,low,0
U000243,low,0
U000244,low,0
U000245,low,0
U000246,medium,0
U000247,low,0
U000248,low,0
U000249,low,0
U000250,low,0
U000251,low,0
U000252,medium,0
U000253,low,0
U000254,low,0
U000255,low,0
U000256,low,0
U000257,low,0
U000258,low,0
U000259,low,0
U000260,low,0
U000261,low,0
U000262,medium,0
U000263,low,0
U000264,low,0
U000265,medium,0
U000266,low,0
U000267,low,0
U000268,low,0
U000269,low,0
U000270,low,0
U000271,low,0
U000272,low,0
U000273,low,0
U000274,low,0
U000275,low,0
U000276,low,0
U000277,low,0
U000278,low,0
U000279,medium,0
U000280,medium,0
U000281,low,0
U000282,low,0
U000283,low,0
U000284,low,0
U000285,low,0
U000286,low,0
U000287,low,0
U000288,low,0
U000289,low,0
U000290,low,0
U000291,medium,0
U000292,low,0
U000293,medium,0
U000294,low,0
U000295,medium,0
U000296,medium,0
U000297,high,0
U000298,low,0
U000299,low,0
U000300,low,0
U000301,low,0
U000302,low,0
U000303,low,0
U000304,low,0
U000305,medium,0
U000306,low,0
U000307,low,0
U000308,low,0
U000309,low,0
U000310,low,0
U000311,low,0
U000312,low,0
U000313,low,0
U000314,low,0
U000315,low,0
U000316,low,0
U000317,low,0
U000318,low,0
U000319,low,0
U000320,medium,0
U000321,medium,0
U000322,low,0
U000323,low,0
U000324,low,0
U000325,medium,0
U000326,low,0
U000327,low,0
U000328,low,0
U000329,low,0
U000330,low,0
U000331,low,0
U000332,low,0
U000333,low,0
U000334,medium,0
U000335,low,0
U000336,low,0
U000337,low,0
U000338,low,0
U000339,low,0
U000340,medium,0
U000341,low,0
U000342,medium,0
U000343,low,0
U000344,low,0
U000345,low,0
U000346,low,0
U000347,medium,0
U000348,low,0
U000349,low,0
U000350,low,0
U000351,low,0
U000352,low,0
U000353,low,0
U000354,low,0
U000355,low,0
U000356,low,0
U000357,low,0
U000358,low,0
U000359,low,0
U000360,low,0
U000361,medium,0
U000362,low,0
U000363,low,0
U000364,low,0
U000365,low,0
U000366,low,0
U000367,low,0
U000368,low,0
U000369,low,0
U000370,medium,0
U000371,low,0
U000372,low,0
U000373,low,0
U000374,low,0
U000375,low,0
U000376,low,0
U000377,medium,0
U000378,low,0
U000379,low,0
U000380,low,0
U000381,low,0
U000382,medium,0
U000383,low,0
U000384,low,0
U000385,low,0
U000386,high,0
U000387,low,0
U000388,medium,0
U000389,low,0
U000390,medium,0
U000391,low,0
U000392,low,0
U000393,low,0
U000394,low,0
U000395,low,0
U000396,low,0
U000397,medium,0
U000398,low,0
U000399,low,0
U000400,low,0
U000401,low,0
U000402,medium,0
U000403,low,0
U000404,low,0
U000405,high,0
U000406,medium,0
U000407,low,0
U000408,medium,0
U000409,low,0
U000410,high,0
U000411,low,0
U000412,low,0
U000413,low,0
U000414,medium,0
U000415,low,0
U000416,low,0
U000417,low,0
U000418,low,0
U000419,low,0
U000420,medium,0
U000421,low,0
U000422,low,0
U000423,low,0
U000424,low,0
U000425,low,0
U000426,low,0
U000427,low,0
U000428,medium,0
U000429,low,0
U000430,low,0
U000431,medium,0
U000432,low,0
U000433,low,0
U000434,medium,0
U000435,low,0
U000436,low,0
U000437,low,0
U000438,low,0
U000439,low,0
U000440,low,0
U000441,medium,0
U000442,low,0
U000443,low,0
U000444,low,0
U000445,low,0
U000446,low,0
U000447,high,0
U000448,low,0
U000449,low,0
U000450,low,0
U000451,low,0
U000452,medium,0
U000453,low,0
U000454,low,0
U000455,low,0
U000456,low,0
U000457,high,0
U000458,low,1
U000459,low,0
U000460,low,0
U000461,low,0
U000462,low,0
U000463,medium,0
U000464,low,0
U000465,low,0
U000466,low,0
U000467,low,0
U000468,medium,0
U000469,low,0
U000470,low,0
U000471,low,0
U000472,low,0
U000473,low,0
U000474,low,0
U000475,low,0
U000476,low,0
U000477,low,0
U000478,low,0
U000479,low,0
U000480,low,0
U000481,low,0
U000482,low,0
U000483,low,0
U000484,low,0
U000485,low,0
U000486,low,0
U000487,low,0
U000488,low,0
U000489,low,0
U000490,low,0
U000491,low,0
U000492,low,0
U000493,low,0
U000494,low,0
U000495,low,0
U000496,low,0
U000497,low,0
U000498,low,0
U000499,low,0
U000500,low,0
U000501,low,1
U000502,medium,0
U000503,medium,0
U000504,low,0
U000505,low,0
U000506,low,0
U000507,low,0
U000508,medium,0
U000509,low,0
U000510,low,0
U000511,low,0
U000512,medium,0
U000513,low,0
U000514,low,0
U000515,low,0
U000516,low,0
U000517,low,0
U000518,low,0
U000519,low,0
U000520,medium,0
U000521,medium,0
U000522,low,0
U000523,low,0
U000524,low,0
U000525,low,0
U000526,low,0
U000527,medium,0
U000528,high,0
U000529,low,0
U000530,low,0
U000531,low,0
U000532,low,0
U000533,low,0
U000534,low,0
U000535,low,0
U000536,low,0
U000537,low,0
U000538,low,0
U000539,low,0
U000540,medium,0
U000541,high,0
U000542,low,0
U000543,medium,0
U000544,high,0
U000545,low,0
U000546,low,0
U000547,low,0
U000548,low,0
U000549,low,0
U000550,low,0
U000551,low,0
U000552,low,0
U000553,low,0
U000554,medium,0
U000555,low,0
U000556,low,0
U000557,low,0
U000558,low,0
U000559,low,0
U000560,low,0
U000561,low,0
U000562,low,0
U000563,medium,0
U000564,low,0
U000565,low,0
U000566,low,0
U000567,low,0
U000568,low,0
U000569,low,0
U000570,low,0
U000571,low,0
U000572,medium,0
U000573,low,0
U000574,low,0
U000575,medium,0
U000576,low,0
U000577,medium,0
U000578,low,0
U000579,medium,0
U000580,low,0
U000581,low,0
U000582,low,0
U000583,low,0
U000584,low,0
U000585,medium,0
U000586,low,0
U000587,low,1
U000588,low,0
U000589,low,0
U000590,low,0
U000591,medium,0
U000592,low,0
U000593,low,0
U000594,low,0
U000595,low,0
U000596,low,0
U000597,low,0
U000598,low,0
U000599,high,0
U000600,low,0
U000601,low,0
U000602,low,0
U000603,medium,0
U000604,low,0
U000605,high,0
U000606,low,0
U000607,medium,0
U000608,low,0
U000609,low,0
U000610,low,0
U000611,low,0
U000612,low,0
U000613,high,0
U000614,high,0
U000615,low,0
U000616,low,0
U000617,low,0
U000618,low,0
U000619,low,0
U000620,low,0
U000621,low,0
U000622,low,0
U000623,high,0
U000624,low,0
U000625,high,0
U000626,low,0
U000627,low,0
U000628,low,0
U000629,low,0
U000630,low,0
U000631,medium,0
U000632,medium,0
U000633,low,0
U000634,low,0
U000635,low,0
U000636,low,0
U000637,low,0
U000638,low,0
U000639,low,0
U000640,medium,0
U000641,low,0
U000642,low,0
U000643,low,0
U000644,low,0
U000645,low,0
U000646,medium,0
U000647,low,0
U000648,low,0
U000649,low,0
U000650,low,0
U000651,low,0
U000652,medium,0
U000653,low,0
U000654,low,0
U000655,medium,0
U000656,low,0
U000657,medium,0
U000658,low,0
U000659,low,0
U000660,low,0
U000661,low,0
U000662,medium,0
U000663,low,0
U000664,low,0
U000665,low,0
U000666,low,0
U000667,low,0
U000668,high,0
U000669,low,0
U000670,low,0
U000671,low,0
U000672,low,0
U000673,high,0
U000674,low,0
U000675,low,0
U000676,low,0
U000677,medium,0
U000678,low,0
U000679,low,0
U000680,low,0
U000681,low,0
U000682,low,0
U000683,low,0
U000684,low,0
U000685,low,0
U000686,low,0
U000687,low,0
U000688,medium,1
U000689,low,0
U000690,low,0
U000691,low,0
U000692,medium,0
U000693,low,0
U000694,low,0
U000695,medium,0
U000696,low,0
U000697,low,0
U000698,low,0
U000699,low,0
U000700,low,0
U000701,low,0
U000702,low,0
U000703,low,0
U000704,medium,0
U000705,low,0
U000706,low,0
U000707,low,0
U000708,low,0
U000709,low,0
U000710,low,0
U000711,high,0
U000712,low,0
U000713,low,0
U000714,medium,0
U000715,low,0
U000716,low,0
U000717,low,0
U000718,low,0
U000719,low,0
U000720,medium,0
U000721,low,0
U000722,low,0
U000723,low,0
U000724,medium,0
U000725,low,0
U000726,low,0
U000727,low,0
U000728,low,0
U000729,low,0
U000730,low,0
U000731,low,0
U000732,low,0
U000733,low,0
U000734,low,0
U000735,low,0
U000736,low,0
U000737,low,0
U000738,low,0
U000739,low,0
U000740,low,0
U000741,low,0
U000742,low,0
U000743,medium,0
U000744,low,0
U000745,low,0
U000746,low,0
U000747,low,0
U000748,low,0
U000749,low,0
U000750,medium,0
U000751,low,0
U000752,low,0
U000753,low,0
U000754,low,0
U000755,low,0
U000756,low,0
U000757,low,0
U000758,medium,0
U000759,low,0
U000760,low,0
U000761,low,0
U000762,low,0
U000763,low,0
U000764,low,0
U000765,medium,0
U000766,low,0
U000767,low,0
U000768,low,0
U000769,low,0
U000770,low,0
U000771,low,0
U000772,low,0
U000773,low,0
U000774,medium,0
U000775,low,0
U000776,medium,0
U000777,low,0
U000778,low,0
U000779,low,0
U000780,medium,0
U000781,low,0
U000782,medium,0
U000783,low,0
U000784,low,0
U000785,high,0
U000786,low,0
U000787,low,0
U000788,low,0
U000789,low,0
U000790,low,0
U000791,low,0
U000792,low,0
U000793,low,0
U000794,low,0
U000795,low,0
U000796,low,0
U000797,low,0
U000798,low,0
U000799,low,0
U000800,low,0
U000801,low,0
U000802,low,0
U000803,medium,0
U000804,low,0
U000805,low,0
U000806,low,0
U000807,low,0
U000808,low,0
U000809,low,0
U000810,high,0
U000811,low,0
U000812,low,0
U000813,high,0
U000814,low,0
U000815,low,0
U000816,medium,0
U000817,medium,0
U000818,low,0
U000819,low,0
U000820,low,0
U000821,low,0
U000822,low,0
U000823,low,0
U000824,low,0
U000825,medium,1
U000826,low,0
U000827,low,0
U000828,low,0
U000829,medium,0
U000830,low,0
U000831,low,0
U000832,low,0
U000833,low,0
U000834,low,0
U000835,low,0
U000836,low,0
U000837,low,0
U000838,high,0
U000839,low,0
U000840,low,0
U000841,low,0
U000842,low,0
U000843,low,0
U000844,low,0
U000845,low,1
U000846,medium,0
U000847,low,0
U000848,low,0
U000849,low,0
U000850,high,0
U000851,low,0
U000852,low,0
U000853,medium,0
U000854,medium,0
U000855,low,0
U000856,low,0
U000857,low,0
U000858,medium,0
U000859,low,0
U000860,low,0
U000861,low,0
U000862,low,0
U000863,low,0
U000864,low,0
U000865,low,0
U000866,medium,0
U000867,medium,0
U000868,low,0
U000869,low,0
U000870,low,0
U000871,low,0
U000872,low,0
U000873,high,0
U000874,low,0
U000875,low,0
U000876,medium,0
U000877,low,0
U000878,low,0
U000879,low,0
U000880,low,0
U000881,low,0
U000882,low,0
U000883,medium,0
U000884,low,0
U000885,low,0
U000886,low,0
U000887,low,0
U000888,low,0
U000889,low,0
U000890,low,0
U000891,low,0
U000892,medium,0
U000893,low,0
U000894,low,0
U000895,low,0
U000896,medium,0
U000897,low,0
U000898,low,0
U000899,low,0
U000900,low,0
U000901,low,0
U000902,low,0
U000903,low,0
U000904,low,0
U000905,medium,0
U000906,low,0
U000907,low,0
U000908,low,0
U000909,low,0
U000910,low,0
U000911,low,0
U000912,medium,0
U000913,medium,0
U000914,high,0
U000915,high,1
U000916,medium,0
U000917,low,0
U000918,low,0
U000919,low,0
U000920,low,0
U000921,low,0
U000922,medium,0
U000923,low,0
U000924,low,0
U000925,low,0
U000926,low,0
U000927,low,0
U000928,medium,0
U000929,low,0
U000930,low,0
U000931,low,0
U000932,low,0
U000933,low,0
U000934,low,0
U000935,low,0
U000936,low,0
U000937,medium,0
U000938,low,0
U000939,medium,0
U000940,low,0
U000941,low,0
U000942,medium,0
U000943,low,0
U000944,low,0
U000945,low,0
U000946,low,0
U000947,low,0
U000948,medium,0
U000949,medium,0
U000950,low,0
U000951,low,0
U000952,low,0
U000953,low,0
U000954,low,0
U000955,medium,0
U000956,medium,0
U000957,low,0
U000958,low,0
U000959,low,0
U000960,low,0
U000961,low,0
U000962,low,0
U000963,low,0
U000964,low,0
U000965,medium,0
U000966,low,0
U000967,medium,0
U000968,low,0
U000969,low,0
U000970,low,0
U000971,low,0
U000972,low,0
U000973,low,0
U000974,medium,0
U000975,low,0
U000976,low,0
U000977,low,0
U000978,low,0
U000979,low,0
U000980,low,0
U000981,high,0
U000982,low,0
U000983,low,0
U000984,low,0
U000985,low,0
U000986,medium,0
U000987,low,0
U000988,low,0
U000989,low,0
U000990,low,0
U000991,low,0
U000992,low,0
U000993,low,0
U000994,low,0
U000995,medium,0
U000996,low,0
U000997,low,0
U000998,low,0
U000999,high,0
U001000,low,0
U001001,low,0
U001002,low,0
U001003,low,0
U001004,low,0
U001005,low,0
U001006,low,0
U001007,medium,0
U001008,low,0
U001009,low,0
U001010,low,0
U001011,low,0
U001012,low,0
U001013,low,0
U001014,medium,0
U001015,low,0
U001016,low,0
U001017,low,0
U001018,medium,0
U001019,low,0
U001020,low,0
U001021,medium,0
U001022,low,0
U001023,high,1
U001024,low,0
U001025,low,1
U001026,low,0
U001027,medium,0
U001028,low,0
U001029,low,0
U001030,low,0
U001031,low,0
U001032,low,0
U001033,low,0
U001034,medium,0
U001035,low,0
U001036,low,0
U001037,low,0
U001038,low,0
U001039,low,0
U001040,low,0
U001041,low,0
U001042,low,0
U001043,low,0
U001044,low,0
U001045,low,0
U001046,low,0
U001047,low,0
U001048,low,0
U001049,medium,0
U001050,low,0
U001051,low,0
U001052,low,0
U001053,low,0
U001054,low,0
U001055,low,0
U001056,low,0
U001057,medium,0
U001058,low,0
U001059,low,1
U001060,low,0
U001061,medium,0
U001062,low,0
U001063,low,0
U001064,low,0
U001065,low,0
U001066,high,0
U001067,low,0
U001068,low,0
U001069,low,0
U001070,low,0
U001071,medium,0
U001072,low,0
U001073,low,0
U001074,medium,0
U001075,medium,0
U001076,low,0
U001077,low,0
U001078,low,0
U001079,low,0
U001080,low,0
U001081,low,0
U001082,medium,1
U001083,medium,0
U001084,medium,0
U001085,high,1
U001086,low,0
U001087,low,0
U001088,low,0
U001089,low,0
U001090,low,0
U001091,low,0
U001092,low,0
U001093,low,0
U001094,low,0
U001095,low,0
U001096,low,0
U001097,low,0
U001098,low,0
U001099,medium,0
U001100,low,0
U001101,low,0
U001102,low,0
U001103,low,0
U001104,medium,0
U001105,low,0
U001106,low,0
U001107,low,0
U001108,low,0
U001109,high,0
U001110,low,0
U001111,low,0
U001112,low,0
U001113,low,0
U001114,medium,0
U001115,high,1
U001116,low,0
U001117,low,0
U001118,low,0
U001119,low,0
U001120,medium,0
U001121,low,0
U001122,low,0
U001123,medium,0
U001124,low,0
U001125,low,0
U001126,low,0
U001127,low,0
U001128,low,0
U001129,low,0
U001130,high,0
U001131,high,0
U001132,low,0
U001133,low,0
U001134,low,0
U001135,high,1
U001136,low,0
U001137,low,0
U001138,low,0
U001139,low,0
U001140,low,0
U001141,low,0
U001142,low,0
U001143,medium,0
U001144,medium,1
U001145,low,0
U001146,low,0
U001147,low,0
U001148,low,0
U001149,low,0
U001150,medium,0
U001151,low,0
U001152,medium,0
U001153,low,0
U001154,low,0
U001155,low,0
U001156,low,0
U001157,low,0
U001158,low,0
U001159,low,0
U001160,low,0
U001161,low,0
U001162,low,0
U001163,medium,0
U001164,low,0
U001165,low,0
U001166,medium,0
U001167,medium,0
U001168,low,0
U001169,low,0
U001170,low,0
U001171,low,0
U001172,low,0
U001173,low,0
U001174,low,0
U001175,low,0
U001176,low,0
U001177,low,0
U001178,low,0
U001179,low,0
U001180,low,0
U001181,low,0
U001182,low,0
U001183,low,0
U001184,low,0
U001185,low,0
U001186,medium,0
U001187,low,0
U001188,high,0
U001189,low,0
U001190,low,0
U001191,low,0
U001192,low,0
U001193,medium,0
U001194,high,0
U001195,medium,0
U001196,low,0
U001197,low,0
U001198,low,0
U001199,low,0
U001200,low,0
U001201,low,0
U001202,low,0
U001203,medium,0
U001204,low,0
U001205,low,0
U001206,low,0
U001207,low,0
U001208,low,0
U001209,low,0
U001210,low,0
U001211,low,0
U001212,medium,0
U001213,low,0
U001214,low,0
U001215,low,0
U001216,low,0
U001217,low,0
U001218,low,0
U001219,low,0
U001220,low,0
U001221,low,0
U001222,low,0
U001223,medium,0
U001224,low,0
U001225,low,0
U001226,medium,0
U001227,low,0
U001228,low,0
U001229,medium,0
U001230,low,0
U001231,low,0
U001232,low,0
U001233,low,0
U001234,low,0
U001235,low,0
U001236,low,0
U001237,low,0
U001238,low,0
U001239,low,0
U001240,low,0
U001241,medium,0
U001242,low,0
U001243,low,0
U001244,low,0
U001245,low,0
U001246,low,0
U001247,low,0
U001248,low,0
U001249,medium,0
U001250,medium,0
U001251,low,0
U001252,low,0
U001253,low,0
U001254,low,0
U001255,low,0
U001256,medium,0
U001257,low,0
U001258,low,0
U001259,low,0
U001260,high,0
U001261,low,0
U001262,low,0
U001263,low,0
U001264,medium,0
U001265,low,0
U001266,low,0
U001267,low,0
U001268,high,0
U001269,low,0
U001270,low,0
U001271,high,0
U001272,low,0
U001273,low,0
U001274,low,0
U001275,low,0
U001276,low,0
U001277,low,0
U001278,low,0
U001279,medium,0
U001280,low,0
U001281,low,0
U001282,low,0
U001283,low,0
U001284,low,0
U001285,medium,0
U001286,medium,0
U001287,low,0
U001288,low,0
U001289,low,0
U001290,low,0
U001291,low,0
U001292,low,0
U001293,low,0
U001294,low,0
U001295,low,0
U001296,low,0
U001297,low,0
U001298,low,0
U001299,low,0
U001300,low,0
U001301,low,0
U001302,low,0
U001303,low,0
U001304,low,0
U001305,medium,0
U001306,medium,0
U001307,low,0
U001308,low,0
U001309,low,0
U001310,medium,0
U001311,low,0
U001312,medium,0
U001313,low,0
U001314,low,0
U001315,low,0
U001316,low,0
U001317,low,0
U001318,low,0
U001319,low,0
U001320,medium,0
U001321,low,0
U001322,low,0
U001323,low,0
U001324,low,0
U001325,low,0
U001326,medium,0
U001327,low,0
U001328,low,0
U001329,low,0
U001330,low,0
U001331,low,0
U001332,low,0
U001333,low,0
U001334,high,0
U001335,high,0
U001336,medium,0
U001337,low,0
U001338,low,0
U001339,medium,0
U001340,low,0
U001341,low,0
U001342,low,0
U001343,low,0
U001344,low,0
U001345,high,0
U001346,low,0
U001347,low,0
U001348,low,0
U001349,low,0
U001350,low,0
U001351,low,0
U001352,medium,0
U001353,low,0
U001354,low,0
U001355,medium,0
U001356,low,0
U001357,low,0
U001358,low,0
U001359,low,0
U001360,low,0
U001361,low,0
U001362,low,0
U001363,low,0
U001364,low,0
U001365,low,0
U001366,low,0
U001367,low,0
U001368,low,0
U001369,low,0
U001370,low,0
U001371,low,0
U001372,medium,0
U001373,low,0
U001374,low,0
U001375,high,0
U001376,low,0
U001377,low,0
U001378,medium,0
U001379,low,0
U001380,low,0
U001381,low,0
U001382,low,0
U001383,low,0
U001384,high,0
U001385,medium,0
U001386,low,0
U001387,low,0
U001388,low,0
U001389,medium,0
U001390,low,0
U001391,medium,0
U001392,medium,0
U001393,low,0
U001394,low,0
U001395,medium,0
U001396,low,0
U001397,low,0
U001398,medium,0
U001399,low,0
U001400,low,0
U001401,low,0
U001402,low,0
U001403,high,0
U001404,low,0
U001405,low,0
U001406,low,0
U001407,high,0
U001408,low,0
U001409,medium,0
U001410,low,0
U001411,medium,0
U001412,high,0
U001413,medium,0
U001414,medium,0
U001415,low,0
U001416,low,0
U001417,low,0
U001418,low,0
U001419,medium,0
U001420,high,0
U001421,low,0
U001422,low,0
U001423,low,0
U001424,low,0
U001425,low,0
U001426,low,0
U001427,low,0
U001428,low,0
U001429,low,0
U001430,low,0
U001431,medium,0
U001432,low,0
U001433,low,0
U001434,low,0
U001435,low,0
U001436,high,0
U001437,low,0
U001438,low,0
U001439,medium,0
U001440,high,0
U001441,low,0
U001442,low,0
U001443,low,0
U001444,low,0
U001445,low,0
U001446,low,0
U001447,medium,0
U001448,low,0
U001449,low,0
U001450,low,0
U001451,low,0
U001452,low,0
U001453,medium,0
U001454,medium,0
U001455,low,0
U001456,low,0
U001457,low,0
U001458,low,0
U001459,medium,0
U001460,low,0
U001461,low,0
U001462,low,0
U001463,low,0
U001464,low,0
U001465,low,0
U001466,low,0
U001467,low,0
U001468,low,0
U001469,low,0
U001470,low,0
U001471,medium,0
U001472,low,0
U001473,low,0
U001474,low,0
U001475,low,0
U001476,low,0
U001477,low,0
U001478,high,0
U001479,low,0
U001480,low,0
U001481,low,0
U001482,low,0
U001483,low,0
U001484,low,0
U001485,low,0
U001486,low,0
U001487,high,0
U001488,low,0
U001489,medium,0
U001490,low,0
U001491,low,0
U001492,medium,0
U001493,low,0
U001494,low,0
U001495,low,0
U001496,low,0
U001497,medium,0
U001498,low,0
U001499,low,0
U001500,low,0
U001501,low,0
U001502,high,0
U001503,low,0
U001504,low,0
U001505,low,0
U001506,low,0
U001507,low,0
U001508,low,0
U001509,low,0
U001510,low,0
U001511,low,0
U001512,low,0
U001513,low,0
U001514,low,0
U001515,medium,0
U001516,low,0
U001517,low,0
U001518,medium,0
U001519,low,0
U001520,low,0
U001521,low,0
U001522,low,0
U001523,medium,0
U001524,low,0
U001525,low,0
U001526,low,0
U001527,low,0
U001528,low,0
U001529,low,0
U001530,low,0
U001531,low,0
U001532,low,0
U001533,low,0
U001534,low,0
U001535,low,0
U001536,low,0
U001537,low,0
U001538,low,0
U001539,low,0
U001540,low,0
U001541,medium,0
U001542,low,0
U001543,low,0
U001544,low,0
U001545,low,0
U001546,low,0
U001547,low,0
U001548,low,0
U001549,low,0
U001550,low,0
U001551,low,0
U001552,low,0
U001553,low,0
U001554,low,0
U001555,low,0
U001556,low,0
U001557,medium,0
U001558,low,0
U001559,low,0
U001560,medium,0
U001561,high,0
U001562,low,0
U001563,medium,0
U001564,medium,0
U001565,low,0
U001566,low,0
U001567,low,0
U001568,low,0
U001569,low,0
U001570,low,0
U001571,low,0
U001572,low,0
U001573,low,0
U001574,medium,0
U001575,low,0
U001576,low,0
U001577,low,0
U001578,medium,0
U001579,high,0
U001580,medium,0
U001581,medium,0
U001582,low,0
U001583,low,0
U001584,low,0
U001585,low,0
U001586,medium,0
U001587,low,0
U001588,low,0
U001589,low,0
U001590,low,0
U001591,low,0
U001592,low,0
U001593,medium,0
U001594,low,0
U001595,medium,0
U001596,low,0
U001597,low,0
U001598,low,0
U001599,low,0
U001600,low,0
U001601,medium,0
U001602,low,0
U001603,low,0
U001604,low,0
U001605,low,0
U001606,low,0
U001607,high,0
U001608,low,0
U001609,low,0
U001610,low,0
U001611,low,0
U001612,low,0
U001613,low,0
U001614,low,0
U001615,medium,0
U001616,low,0
U001617,low,0
U001618,low,0
U001619,high,0
U001620,low,0
U001621,low,0
U001622,low,1
U001623,low,0
U001624,low,0
U001625,low,0
U001626,low,0
U001627,low,0
U001628,low,0
U001629,low,0
U001630,low,0
U001631,low,0
U001632,medium,0
U001633,low,0
U001634,low,0
U001635,high,0
U001636,low,0
U001637,low,0
U001638,medium,0
U001639,low,0
U001640,low,0
U001641,low,0
U001642,low,0
U001643,low,0
U001644,low,0
U001645,low,0
U001646,low,0
U001647,low,0
U001648,low,0
U001649,medium,0
U001650,low,0
U001651,low,0
U001652,low,0
U001653,low,0
U001654,low,0
U001655,medium,0
U001656,low,0
U001657,low,0
U001658,medium,0
U001659,low,0
U001660,low,0
U001661,low,0
U001662,low,0
U001663,low,0
U001664,low,0
U001665,medium,0
U001666,medium,0
U001667,medium,0
U001668,low,0
U001669,low,0
U001670,medium,0
U001671,low,0
U001672,low,0
U001673,low,0
U001674,low,0
U001675,low,0
U001676,medium,0
U001677,low,0
U001678,low,0
U001679,medium,0
U001680,low,0
U001681,low,0
U001682,medium,0
U001683,low,0
U001684,low,0
U001685,low,0
U001686,low,0
U001687,low,0
U001688,low,0
U001689,low,0
U001690,low,0
U001691,low,0
U001692,medium,0
U001693,low,0
U001694,low,0
U001695,low,0
U001696,low,0
U001697,low,0
U001698,low,0
U001699,high,0
U001700,low,0
U001701,medium,0
U001702,high,0
U001703,low,0
U001704,low,0
U001705,low,0
U001706,high,0
U001707,low,0
U001708,low,0
U001709,medium,0
U001710,low,0
U001711,low,0
U001712,low,0
