user_id,age_band,province,registration_date,channel_preference,limit_configured,marketing_opt_in,self_excluded
U000114,36-45,Madrid,2024-09-20,online,1,1,0
U000115,56-65,Málaga,2023-01-08,online,0,1,0
U000116,36-45,Granada,2023-11-15,online,0,1,0
U000117,26-35,Murcia,2024-11-19,retail,0,0,0
U000118,65+,Valencia,2024-02-01,retail,1,1,0
U000119,18-25,Almería,2023-11-25,online,0,1,0
U000120,46-55,Madrid,2023-08-17,online,1,1,0
U000121,36-45,Almería,2023-02-23,retail,0,1,0
U000122,26-35,Barcelona,2023-06-13,retail,1,1,0
U000123,26-35,Murcia,2023-03-08,online,0,0,0
U000124,36-45,Barcelona,2023-04-03,online,0,1,0
U000125,26-35,Valencia,2023-04-30,online,0,1,0
U000126,65+,Murcia,2023-08-09,retail,1,0,0
U000127,26-35,Barcelona,2023-01-09,online,1,0,0
U000128,46-55,Málaga,2024-11-24,retail,0,1,0
U000129,65+,Barcelona,2023-04-01,retail,0,1,0
U000130,26-35,Valencia,2023-10-07,online,1,0,0
U000131,18-25,Valencia,2024-10-04,online,0,0,0
U000132,18-25,Almería,2023-03-19,online,0,0,0
U000133,65+,Granada,2023-12-20,retail,0,0,0
U000134,26-35,Barcelona,2024-09-08,online,1,1,0
U000135,56-65,Valencia,2024-02-11,online,0,0,0
U000136,36-45,Barcelona,2023-06-03,online,1,1,0
U000137,56-65,Almería,2024-06-20,retail,0,1,0
U000138,46-55,Almería,2024-05-12,online,0,0,0
U000139,26-35,Barcelona,2023-09-22,online,0,1,0
U000140,36-45,Murcia,2023-02-03,online,1,1,0
U000141,36-45,Granada,2023-01-06,online,1,1,0
U000142,26-35,Barcelona,2024-08-25,online,1,0,0
U000143,26-35,Barcelona,2023-08-23,online,1,1,0
U000144,26-35,Murcia,2023-04-11,retail,1,1,0
U000145,46-55,Granada,2024-01-14,online,0,1,0
U000146,36-45,Alicante,2024-11-03,online,0,1,0
U000147,36-45,Madrid,2023-01-07,online,1,1,0
U000148,36-45,Alicante,2023-02-10,retail,0,1,0
U000149,18-25,Barcelona,2023-11-01,online,1,1,0
U000150,26-35,Barcelona,2024-05-08,online,0,0,0
U000151,46-55,Málaga,2023-12-14,online,0,1,0
U000152,36-45,Valencia,2024-10-17,retail,1,1,0
U000153,26-35,Murcia,2023-02-02,online,1,1,0
U000154,46-55,Madrid,2023-09-06,online,0,0,0
U000155,65+,Málaga,2023-09-14,online,0,1,0
U000156,46-55,Madrid,2023-09-06,retail,0,0,0
U000157,18-25,Almería,2023-12-23,online,0,0,0
U000158,26-35,Murcia,2024-07-31,retail,0,0,0
U000159,56-65,Alicante,2023-08-21,online,0,1,0
U000160,36-45,Madrid,2024-06-27,online,1,1,0
U000161,36-45,Málaga,2023-04-17,online,1,0,0
U000162,46-55,Valencia,2024-02-14,retail,1,0,0
U000163,26-35,Alicante,2023-10-01,retail,0,0,0
U000164,26-35,Barcelona,2024-01-29,online,0,0,0
U000165,36-45,Granada,2023-03-20,online,0,0,0
U000166,46-55,Granada,2024-11-27,retail,1,0,0
U000167,36-45,Granada,2024-10-23,retail,1,1,0
U000168,56-65,Málaga,2024-08-26,retail,0,1,0
U000169,26-35,Valencia,2024-10-13,online,0,0,0
U000170,26-35,Barcelona,2023-04-18,online,0,0,0
U000171,65+,Granada,2024-01-03,online,0,1,0
U000172,36-45,Málaga,2023-08-21,retail,0,0,0
U000173,56-65,Valencia,2024-10-09,online,1,0,0
U000174,18-25,Alicante,2023-05-19,retail,0,1,0
U000175,18-25,Madrid,2023-06-10,online,1,0,0
U000176,56-65,Almería,2024-05-16,online,0,1,0
U000177,46-55,Málaga,2023-03-06,online,0,1,0
U000178,18-25,Murcia,2024-06-18,online,0,0,0
U000179,18-25,Almería,2023-07-15,retail,1,1,0
U000180,56-65,Málaga,2024-04-27,online,0,0,0
U000181,65+,Granada,2024-09-29,online,0,0,0
U000182,36-45,Valencia,2024-03-21,retail,0,1,0
U000183,36-45,Málaga,2023-06-05,retail,0,1,0
U000184,65+,Murcia,2023-02-05,online,1,1,0
U000185,26-35,Alicante,2023-02-02,online,1,1,0
U000186,26-35,Madrid,2023-03-06,online,0,0,0
U000187,56-65,Murcia,2024-02-28,online,1,0,0
U000188,26-35,Málaga,2023-09-12,online,1,1,0
U000189,18-25,Alicante,2023-06-27,online,0,1,0
U000190,26-35,Granada,2023-06-10,retail,1,0,0
U000191,18-25,Barcelona,2024-11-23,online,1,0,0
U000192,26-35,Madrid,2023-03-28,retail,1,0,0
U000193,26-35,Barcelona,2023-08-11,retail,1,1,0
U000194,36-45,Murcia,2023-12-11,online,1,1,0
U000195,56-65,Almería,2023-01-01,retail,1,0,0
U000196,18-25,Alicante,2024-11-03,online,0,0,0
U000197,46-55,Madrid,2023-03-14,online,0,1,0
U000198,26-35,Málaga,2024-05-13,retail,0,1,0
U000199,46-55,Almería,2024-04-04,online,0,1,0
U000200,56-65,Madrid,2024-08-13,online,1,1,0
U000201,18-25,Málaga,2024-04-20,online,0,1,0
U000202,26-35,Barcelona,2024-07-15,online,1,0,0
U000203,26-35,Almería,2023-11-04,retail,1,0,0
U000204,18-25,Granada,2023-12-23,online,0,1,0
U000205,36-45,Granada,2024-05-27,online,1,1,0
U000206,36-45,Madrid,2024-02-19,online,1,1,0
U000207,65+,Málaga,2024-01-09,online,0,1,0
U000208,26-35,Valencia,2023-05-31,retail,1,1,0
U000209,26-35,Alicante,2023-07-08,online,1,1,0
U000210,46-55,Madrid,2023-09-19,online,1,1,0
U000211,46-55,Almería,2023-01-07,retail,1,1,0
U000212,46-55,Almería,2023-11-01,retail,1,1,0
U000213,46-55,Madrid,2023-01-03,online,0,0,0
U000214,36-45,Alicante,2024-02-17,online,1,1,0
U000215,26-35,Granada,2024-05-28,online,0,0,0
U000216,65+,Alicante,2024-02-15,online,1,1,0
U000217,65+,Almería,2024-05-21,online,0,0,0
U000218,46-55,Almería,2023-01-01,retail,0,0,0
U000219,56-65,Granada,2023-02-13,online,0,1,0
U000220,36-45,Málaga,2024-05-24,online,1,0,0
U000221,65+,Barcelona,2024-08-09,online,1,0,0
U000222,46-55,Granada,2024-06-07,retail,0,1,0
U000223,46-55,Barcelona,2024-04-28,retail,1,1,0
U000224,18-25,Valencia,2024-05-31,retail,0,1,0
U000225,18-25,Valencia,2024-06-23,online,0,0,0
U000226,46-55,Granada,2024-06-12,online,1,1,0
U000227,26-35,Almería,2024-06-22,online,0,0,0
U000228,26-35,Valencia,2023-02-24,online,0,1,0
U000229,36-45,Granada,2023-02-16,online,0,0,0
U000230,26-35,Granada,2023-09-21,online,1,0,0
U000231,26-35,Málaga,2024-01-21,retail,0,1,0
U000232,26-35,Málaga,2024-07-10,online,1,0,0
U000233,36-45,Alicante,2023-09-02,online,0,1,0
U000234,26-35,Madrid,2023-07-20,online,0,1,0
U000235,36-45,Alicante,2024-07-24,retail,0,1,0
U000236,65+,Granada,2023-07-02,online,0,0,0
U000237,36-45,Málaga,2024-08-22,online,1,0,0
U000238,18-25,Murcia,2023-05-10,retail,1,1,0
U000239,18-25,Alicante,2023-09-20,online,0,1,0
U000240,46-55,Almería,2023-10-20,online,0,0,0
U000241,36-45,Barcelona,2023-08-07,retail,1,1,0
U000242,46-55,Alicante,2023-01-03,online,0,0,0
U000243,18-25,Madrid,2023-06-21,retail,0,1,0
U000244,46-55,Málaga,2023-09-04,retail,1,0,0
U000245,26-35,Granada,2023-08-17,online,1,1,0
U000246,46-55,Madrid,2024-07-27,retail,1,0,0
U000247,46-55,Alicante,2023-02-04,online,1,1,0
U000248,56-65,Madrid,2023-10-11,retail,1,1,0
U000249,46-55,Barcelona,2023-01-28,online,0,1,0
U000250,26-35,Madrid,2024-11-10,online,0,1,0
U000251,56-65,Granada,2024-07-30,online,0,1,0
U000252,46-55,Granada,2024-12-17,retail,1,0,0
U000253,56-65,Málaga,2024-10-26,online,0,0,0
U000254,46-55,Valencia,2023-08-19,retail,0,0,0
U000255,36-45,Granada,2024-05-19,online,0,1,0
U000256,18-25,Almería,2023-08-12,online,1,0,0
U000257,18-25,Murcia,2024-10-10,online,1,1,0
U000258,46-55,Granada,2023-10-27,online,0,0,0
U000259,18-25,Granada,2023-10-02,online,1,1,0
U000260,26-35,Barcelona,2024-10-29,online,0,0,0
U000261,36-45,Alicante,2024-09-02,online,0,1,0
U000262,46-55,Málaga,2024-12-06,online,0,1,0
U000263,18-25,Granada,2023-02-18,online,0,0,0
U000264,26-35,Valencia,2023-06-27,retail,0,1,0
U000265,26-35,Málaga,2023-08-08,online,0,1,0
U000266,36-45,Valencia,2023-11-06,online,0,1,0
U000267,26-35,Murcia,2023-12-12,online,0,1,0
U000268,56-65,Málaga,2023-08-01,online,0,1,0
U000269,26-35,Valencia,2024-07-31,online,1,1,0
U000270,26-35,Valencia,2023-06-12,online,0,0,0
U000271,26-35,Barcelona,2024-05-23,online,1,0,0
U000272,46-55,Valencia,2024-09-13,online,1,1,0
U000273,56-65,Almería,2024-03-16,online,1,0,0
U000274,18-25,Madrid,2023-09-16,online,0,1,0
U000275,46-55,Granada,2023-05-18,retail,1,1,0
U000276,36-45,Valencia,2023-04-09,retail,1,1,0
U000277,36-45,Granada,2024-06-27,retail,0,1,0
U000278,26-35,Madrid,2023-12-09,online,0,1,0
U000279,18-25,Murcia,2023-02-03,online,0,0,0
U000280,26-35,Almería,2024-12-19,retail,1,0,0
U000281,65+,Granada,2024-05-05,online,0,0,0
U000282,36-45,Málaga,2024-09-08,retail,0,0,0
U000283,26-35,Alicante,2023-11-16,retail,0,1,0
U000284,36-45,Alicante,2024-11-28,online,1,1,0
U000285,26-35,Madrid,2023-05-26,online,0,0,0
U000286,46-55,Málaga,2023-05-16,retail,0,1,0
U000287,56-65,Almería,2024-10-11,online,1,1,0
U000288,65+,Valencia,2024-10-12,retail,1,0,0
U000289,56-65,Valencia,2023-12-31,online,0,0,0
U000290,56-65,Murcia,2023-04-02,online,1,1,0
U000291,56-65,Madrid,2023-08-11,online,1,0,0
U000292,36-45,Madrid,2024-07-04,online,0,0,0
U000293,56-65,Málaga,2024-09-09,online,0,1,0
U000294,18-25,Valencia,2023-09-11,retail,1,0,0
U000295,36-45,Valencia,2023-02-14,online,1,1,0
U000296,18-25,Granada,2024-04-30,online,1,1,0
U000297,26-35,Barcelona,2024-06-23,retail,0,0,0
U000298,36-45,Madrid,2023-11-06,retail,0,0,0
U000299,46-55,Madrid,2024-03-01,retail,0,1,0
U000300,18-25,Granada,2024-12-21,online,0,1,0
U000301,18-25,Valencia,2023-06-28,online,0,0,0
U000302,26-35,Alicante,2024-02-23,online,0,0,0
U000303,36-45,Madrid,2024-03-22,online,0,1,0
U000304,36-45,Málaga,2024-02-05,retail,1,1,0
U000305,18-25,Barcelona,2024-09-26,online,1,1,0
U000306,26-35,Barcelona,2024-03-17,online,0,1,0
U000307,36-45,Granada,2024-01-06,online,0,0,0
U000308,46-55,Granada,2023-03-31,retail,0,0,0
U000309,56-65,Málaga,2024-05-28,online,1,1,0
U000310,26-35,Barcelona,2023-04-07,online,1,1,0
U000311,26-35,Granada,2023-01-20,retail,0,0,0
U000312,26-35,Alicante,2023-12-23,online,0,1,0
U000313,46-55,Valencia,2024-02-22,retail,0,0,0
U000314,46-55,Alicante,2024-12-30,online,1,1,0
U000315,26-35,Madrid,2024-06-03,retail,0,1,0
U000316,46-55,Granada,2024-09-11,online,0,1,0
U000317,26-35,Madrid,2023-09-10,online,0,0,0
U000318,56-65,Granada,2024-01-07,retail,1,1,0
U000319,18-25,Murcia,2024-12-12,online,1,1,0
U000320,18-25,Barcelona,2023-11-01,online,0,1,0
U000321,26-35,Granada,2024-08-12,online,1,0,0
U000322,36-45,Málaga,2024-01-19,online,1,0,0
U000323,26-35,Murcia,2023-06-13,online,0,0,0
U000324,36-45,Alicante,2024-02-28,online,1,1,0
U000325,46-55,Barcelona,2023-06-09,online,0,1,0
U000326,26-35,Granada,2023-01-03,online,0,0,0
U000327,36-45,Barcelona,2023-06-22,online,1,0,0
U000328,18-25,Alicante,2023-05-21,online,0,1,0
U000329,26-35,Madrid,2023-09-28,online,0,1,0
U000330,46-55,Alicante,2024-10-10,online,1,1,0
U000331,26-35,Madrid,2023-10-11,online,1,0,0
U000332,36-45,Granada,2024-09-08,online,1,1,0
U000333,65+,Madrid,2024-02-10,online,1,1,0
U000334,36-45,Valencia,2023-01-06,online,0,1,0
U000335,36-45,Granada,2023-05-18,online,1,1,0
U000336,26-35,Granada,2024-11-10,retail,1,1,0
U000337,36-45,Granada,2024-03-17,online,1,1,0
U000338,26-35,Murcia,2024-11-09,retail,0,1,0
U000339,46-55,Barcelona,2023-08-15,online,0,0,0
U000340,36-45,Almería,2024-06-07,online,0,0,0
U000341,26-35,Almería,2024-07-17,online,0,1,0
U000342,46-55,Almería,2024-12-13,retail,1,0,0
U000343,56-65,Valencia,2023-01-14,retail,1,0,0
U000344,26-35,Murcia,2024-11-26,retail,0,1,0
U000345,56-65,Málaga,2023-10-13,online,1,1,0
U000346,46-55,Granada,2024-09-03,online,1,0,0
U000347,65+,Barcelona,2024-02-02,online,0,0,0
U000348,26-35,Málaga,2024-02-17,online,0,1,0
U000349,36-45,Murcia,2023-09-20,online,1,0,0
U000350,26-35,Granada,2024-08-27,online,0,0,0
U000351,56-65,Alicante,2023-07-12,retail,1,1,0
U000352,46-55,Madrid,2023-12-26,retail,0,0,0
U000353,26-35,Murcia,2024-02-13,online,0,1,0
U000354,36-45,Barcelona,2024-06-26,online,0,1,0
U000355,36-45,Valencia,2023-12-11,retail,0,1,0
U000356,56-65,Alicante,2024-05-11,online,0,1,0
U000357,65+,Valencia,2023-12-21,online,1,0,0
U000358,56-65,Alicante,2024-04-26,online,0,1,0
U000359,36-45,Alicante,2024-05-07,retail,1,0,0
U000360,26-35,Barcelona,2024-06-01,retail,1,1,0
U000361,36-45,Murcia,2024-08-24,online,1,1,0
U000362,65+,Alicante,2024-01-30,online,1,1,0
U000363,18-25,Málaga,2023-05-22,retail,0,1,0
U000364,65+,Murcia,2024-05-11,retail,1,1,0
U000365,26-35,Alicante,2023-02-26,retail,1,1,0
U000366,18-25,Valencia,2023-06-09,online,0,1,0
U000367,18-25,Almería,2024-08-01,online,0,0,0
U000368,36-45,Murcia,2023-11-14,retail,0,1,0
U000369,46-55,Granada,2023-12-30,retail,1,0,0
U000370,36-45,Alicante,2024-12-21,online,0,0,0
U000371,36-45,Alicante,2023-06-21,online,1,1,0
U000372,18-25,Murcia,2023-01-15,online,1,0,0
U000373,36-45,Málaga,2023-03-23,retail,1,0,0
U000374,26-35,Almería,2023-06-28,online,0,1,0
U000375,18-25,Granada,2024-06-13,online,1,0,0
U000376,36-45,Almería,2024-07-20,online,0,0,0
U000377,26-35,Málaga,2024-02-17,online,0,1,0
U000378,46-55,Murcia,2023-07-06,online,0,0,0
U000379,36-45,Madrid,2024-01-16,retail,0,1,0
U000380,56-65,Valencia,2023-01-11,online,1,1,0
U000381,56-65,Madrid,2024-05-12,retail,1,1,0
U000382,18-25,Madrid,2024-03-24,online,0,1,0
U000383,26-35,Alicante,2023-01-16,retail,1,1,0
U000384,26-35,Almería,2024-08-19,retail,0,0,0
U000385,26-35,Madrid,2024-07-11,online,1,0,0
U000386,56-65,Murcia,2023-08-14,retail,0,1,0
U000387,46-55,Murcia,2024-04-08,retail,0,1,0
U000388,46-55,Barcelona,2024-03-15,online,0,1,0
U000389,56-65,Murcia,2023-04-15,online,0,1,0
U000390,36-45,Barcelona,2023-05-22,online,1,1,0
U000391,18-25,Alicante,2024-05-13,online,1,1,0
U000392,56-65,Granada,2024-11-12,retail,1,0,0
U000393,56-65,Madrid,2024-02-25,online,1,1,0
U000394,36-45,Málaga,2024-02-19,online,1,0,0
U000395,26-35,Alicante,2024-04-17,online,0,1,0
U000396,18-25,Valencia,2023-11-18,online,0,1,0
U000397,46-55,Barcelona,2023-02-09,online,1,1,0
U000398,65+,Valencia,2023-10-17,online,1,1,0
U000399,46-55,Madrid,2024-10-19,online,0,0,0
U000400,46-55,Almería,2024-08-10,online,1,0,0
U000401,36-45,Granada,2024-11-08,online,1,1,0
U000402,26-35,Barcelona,2023-04-22,retail,0,1,0
U000403,56-65,Barcelona,2024-01-05,online,0,0,0
U000404,36-45,Alicante,2024-03-02,retail,1,1,0
U000405,56-65,Málaga,2023-06-03,online,0,0,0
U000406,56-65,Málaga,2023-05-27,online,0,0,0
U000407,18-25,Alicante,2024-07-24,online,1,1,0
U000408,46-55,Murcia,2024-05-05,online,0,1,0
U000409,46-55,Málaga,2024-04-17,online,1,1,0
U000410,56-65,Alicante,2023-07-14,online,0,1,0
U000411,36-45,Barcelona,2024-01-05,online,1,0,0
U000412,18-25,Madrid,2023-01-17,online,0,1,0
U000413,18-25,Granada,2023-04-05,online,1,1,0
U000414,36-45,Barcelona,2024-01-14,online,0,0,0
U000415,36-45,Málaga,2024-12-05,online,0,1,0
U000416,46-55,Alicante,2023-12-11,online,0,1,0
U000417,46-55,Murcia,2023-03-03,retail,0,0,0
U000418,18-25,Valencia,2023-01-14,online,1,0,0
U000419,46-55,Málaga,2024-06-13,online,0,0,0
U000420,46-55,Barcelona,2023-05-06,online,0,1,0
U000421,26-35,Granada,2023-05-18,online,0,1,0
U000422,46-55,Valencia,2023-11-06,retail,0,1,0
U000423,26-35,Valencia,2023-07-12,retail,0,0,0
U000424,46-55,Málaga,2024-03-26,retail,1,1,0
U000425,46-55,Valencia,2023-12-21,retail,0,1,0
U000426,18-25,Madrid,2023-03-23,online,0,0,0
U000427,36-45,Barcelona,2024-07-26,online,0,1,0
U000428,26-35,Málaga,2023-11-07,online,0,0,0
U000429,18-25,Barcelona,2024-03-21,retail,0,1,0
U000430,36-45,Madrid,2023-01-03,online,1,1,0
U000431,26-35,Valencia,2024-04-02,online,1,1,0
U000432,46-55,Málaga,2023-07-26,retail,1,1,0
U000433,26-35,Alicante,2023-12-27,online,0,1,0
U000434,26-35,Valencia,2023-08-06,online,1,1,0
U000435,46-55,Alicante,2024-12-28,retail,0,1,0
U000436,56-65,Barcelona,2023-06-18,online,1,1,0
U000437,26-35,Málaga,2024-10-28,online,0,0,0
U000438,18-25,Málaga,2024-11-01,online,0,1,0
U000439,26-35,Granada,2023-11-04,online,1,1,0
U000440,46-55,Murcia,2023-08-10,online,1,1,0
U000441,26-35,Valencia,2023-10-06,online,0,1,0
U000442,26-35,Valencia,2024-12-23,retail,0,0,0
U000443,26-35,Almería,2024-03-27,online,0,1,0
U000444,46-55,Alicante,2024-02-02,retail,1,0,0
U000445,46-55,Valencia,2023-01-27,online,1,0,0
U000446,46-55,Madrid,2024-09-10,online,1,1,0
U000447,46-55,Málaga,2023-03-03,online,1,1,0
U000448,36-45,Almería,2023-02-04,online,1,1,0
U000449,36-45,Madrid,2023-07-20,online,1,1,0
U000450,36-45,Granada,2023-12-14,retail,0,1,0
U000451,18-25,Almería,2024-10-15,retail,0,0,0
U000452,36-45,Alicante,2024-07-30,online,0,0,0
U000453,18-25,Valencia,2023-05-25,retail,0,1,0
U000454,36-45,Almería,2023-09-29,retail,1,0,0
U000455,46-55,Almería,2024-07-23,online,1,1,0
U000456,56-65,Alicante,2024-01-20,retail,0,1,0
U000457,26-35,Valencia,2023-05-08,retail,1,1,0
U000458,36-45,Granada,2023-10-17,online,1,1,0
U000459,36-45,Valencia,2024-04-01,retail,0,1,0
U000460,26-35,Valencia,2024-12-11,online,1,1,0
U000461,56-65,Barcelona,2024-04-28,online,0,1,0
U000462,36-45,Madrid,2023-01-12,retail,0,1,0
U000463,36-45,Murcia,2024-05-29,online,0,1,0
U000464,26-35,Barcelona,2023-07-03,online,1,0,0
U000465,18-25,Alicante,2024-09-21,online,1,1,0
U000466,26-35,Granada,2023-10-08,online,0,0,0
U000467,18-25,Murcia,2023-05-26,online,0,1,0
U000468,26-35,Valencia,2023-12-08,online,0,1,0
U000469,56-65,Almería,2023-07-06,online,0,1,0
U000470,36-45,Alicante,2023-06-22,retail,0,0,0
U000471,56-65,Alicante,2024-02-23,online,0,1,0
U000472,26-35,Madrid,2024-07-14,online,0,0,0
U000473,46-55,Barcelona,2024-09-01,online,0,1,0
U000474,18-25,Madrid,2023-10-18,online,1,1,0
U000475,18-25,Almería,2023-02-18,retail,1,1,0
U000476,36-45,Madrid,2023-12-20,retail,0,0,0
U000477,36-45,Madrid,2023-11-13,retail,0,1,0
U000478,18-25,Almería,2023-05-24,online,1,0,0
U000479,56-65,Almería,2024-10-16,retail,1,1,0
U000480,36-45,Murcia,2024-12-12,online,0,0,0
U000481,46-55,Murcia,2023-02-07,retail,0,0,0
U000482,36-45,Almería,2024-08-03,online,1,0,0
U000483,26-35,Barcelona,2024-04-16,online,1,0,0
U000484,36-45,Murcia,2023-07-10,online,0,1,0
U000485,18-25,Valencia,2024-04-08,online,1,1,0
U000486,36-45,Valencia,2023-04-04,online,1,1,0
U000487,26-35,Almería,2023-02-20,online,1,0,0
U000488,18-25,Alicante,2024-12-26,retail,1,1,0
U000489,36-45,Alicante,2024-04-09,retail,1,1,0
U000490,46-55,Almería,2023-07-04,online,1,0,0
U000491,26-35,Valencia,2023-11-25,online,0,0,0
U000492,36-45,Murcia,2024-11-24,online,1,0,0
U000493,46-55,Málaga,2023-11-17,online,1,0,0
U000494,36-45,Málaga,2024-10-19,retail,0,0,0
U000495,18-25,Almería,2024-09-26,online,1,1,0
